image_path,area,weight,label
/mnt/data/dataset/apple-weight-dataset/v2/2785-115/image0006784.png,860729.0,2785,1
/mnt/data/dataset/apple-weight-dataset/v2/1980-33/image0002737.png,703830.5,1980,0
/mnt/data/dataset/apple-weight-dataset/v2/3240-90/image0005525.png,987215.5,3240,1
/mnt/data/dataset/apple-weight-dataset/v2/1935-36/image0002863.png,664111.0,1935,0
/mnt/data/dataset/apple-weight-dataset/v2/2750-104/image0006256.png,874953.5,2750,1
/mnt/data/dataset/apple-weight-dataset/v2/3250-100/image0006023.png,967070.5,3250,1
/mnt/data/dataset/apple-weight-dataset/v2/1965-47/image0003330.png,648070.0,1965,0
/mnt/data/dataset/apple-weight-dataset/v2/2035-56/image0003685.png,640857.0,2035,0
/mnt/data/dataset/apple-weight-dataset/v2/4120-121/image0007140.png,1155850.5,4120,2
/mnt/data/dataset/apple-weight-dataset/v2/1950-58/image0003818.png,645112.0,1950,0
/mnt/data/dataset/apple-weight-dataset/v2/3175-78/image0004861.png,997585.0,3175,1
/mnt/data/dataset/apple-weight-dataset/v2/3910-141/image0008170.png,1177456.0,3910,2
/mnt/data/dataset/apple-weight-dataset/v2/3865-145/image0008405.png,1098481.0,3865,2
/mnt/data/dataset/apple-weight-dataset/v2/3240-90/image0005511.png,940372.5,3240,1
/mnt/data/dataset/apple-weight-dataset/v2/2035-56/image0003677.png,656989.5,2035,0
/mnt/data/dataset/apple-weight-dataset/v2/2940-111/image0006575.png,942582.0,2940,1
/mnt/data/dataset/apple-weight-dataset/v2/3740-15/image0000736.png,1082257.0,3740,2
/mnt/data/dataset/apple-weight-dataset/v2/2830-110/image0006560.png,899767.0,2830,1
/mnt/data/dataset/apple-weight-dataset/v2/3795-139/image0008086.png,1101854.0,3795,2
/mnt/data/dataset/apple-weight-dataset/v2/3250-100/image0006036.png,927671.5,3250,1
/mnt/data/dataset/apple-weight-dataset/v2/1735-65/image0004171.png,573322.5,1735,0
/mnt/data/dataset/apple-weight-dataset/v2/2035-54/image0003585.png,682991.5,2035,0
/mnt/data/dataset/apple-weight-dataset/v2/2755-112/image0006639.png,854356.5,2755,1
/mnt/data/dataset/apple-weight-dataset/v2/2650-106/image0006321.png,877767.5,2650,1
/mnt/data/dataset/apple-weight-dataset/v2/1925-53/image0003540.png,619669.0,1925,0
/mnt/data/dataset/apple-weight-dataset/v2/3250-100/image0005999.png,974834.0,3250,1
/mnt/data/dataset/apple-weight-dataset/v2/3145-84/image0005216.png,944767.0,3145,1
/mnt/data/dataset/apple-weight-dataset/v2/1980-35/image0002804.png,689873.0,1980,0
/mnt/data/dataset/apple-weight-dataset/v2/4015-131/image0007620.png,1209864.5,4015,2
/mnt/data/dataset/apple-weight-dataset/v2/3110-81/image0005039.png,857419.5,3110,1
/mnt/data/dataset/apple-weight-dataset/v2/2910-94/image0005717.png,859943.0,2910,1
/mnt/data/dataset/apple-weight-dataset/v2/2765-103/image0006175.png,844434.0,2765,1
/mnt/data/dataset/apple-weight-dataset/v2/2940-116/image0006869.png,899864.5,2940,1
/mnt/data/dataset/apple-weight-dataset/v2/4360-123/image0007210.png,1220058.0,4360,2
/mnt/data/dataset/apple-weight-dataset/v2/2810-108/image0006438.png,875835.0,2810,1
/mnt/data/dataset/apple-weight-dataset/v2/3120-95/image0005740.png,977816.0,3120,1
/mnt/data/dataset/apple-weight-dataset/v2/1750-67/image0004268.png,574740.0,1750,0
/mnt/data/dataset/apple-weight-dataset/v2/4285-134/image0007783.png,1259475.0,4285,2
